subject,condition,engagement,alpha_gating,phase_organization,spatial_selectivity,asi_eeg,asi_projected,relay_effective_span,probability_high
1,high,0.5945732177143355,0.3273286666786942,0.34406305927817504,0.1970226955166391,0.3961124838603144,0.28472901178274945,9.443774634051636,0.6070989650895258
1,rest,0.5000000000000001,0.5,0.5,0.49999999999999994,0.5225904579846139,0.39823898745259717,12.117714481247576,0.3030069482650621
2,high,0.6773241063465084,0.7240694770050643,0.5800526326476051,0.8671709929393907,0.6930687077943243,0.5527122093069083,12.53892785759566,0.4995505701300942
2,rest,0.5000000000000001,0.5,0.5,0.5,0.5248189299384282,0.3957175303808008,12.872801254584557,0.24310954798864953
3,high,0.6836090092202116,0.9223295665070725,0.42356636141145276,0.6740869276535029,0.6680916680679816,0.5531585889899314,11.996747281202923,0.8915613321703326
3,rest,0.4999999999999999,0.5,0.5,0.5,0.5297229098817094,0.3994335634410999,12.501096531713172,0.24990786024532027
4,high,0.5526558368563148,0.45574146982118646,0.5172124875155915,0.4144139204236656,0.4715453196017544,0.3508085059231072,11.962562125778636,0.4876387836867538
4,rest,0.5,0.5,0.4999999999999999,0.5,0.5049840148171283,0.3815454094376589,12.297249827431006,0.2657864764558092
5,high,0.9376353560797341,0.29393166924367364,0.4700801804611252,0.7995978332069007,0.6123496019046832,0.5165822541934598,11.32051186288504,0.5917986055367886
5,rest,0.5,0.4999999999999999,0.4999999999999999,0.5,0.5071896953898963,0.35673159721762004,13.038386902621195,0.30240539682547607
6,high,0.5192640407414113,0.548745565225962,0.48210436602933193,0.8577639467409577,0.6032213454238489,0.4935917028590374,10.635006259876404,0.5413075767213364
6,rest,0.5,0.5000000000000002,0.5,0.49999999999999994,0.520879278907239,0.38697735068077166,11.799984645192358,0.3359049260879388
7,high,0.37858416420724106,0.7969538365497251,0.5325646079430473,0.14002326685444988,0.47146425916034995,0.38105552684295935,9.025509341651679,0.8573219964140266
7,rest,0.5,0.4999999999999999,0.5,0.5,0.48744312766701425,0.3655242403754849,10.924074839991844,0.4548332588463224
8,high,0.16821461716479003,0.7328649569950201,0.6329732012876061,0.6549671657081222,0.5551249868404757,0.43766777508268057,11.687803146436067,0.7813984111078773
8,rest,0.5,0.5,0.5000000000000001,0.5,0.5348561400231615,0.38535757268501336,12.408753809013893,0.3139443599369611
9,high,0.7300647787286292,0.9393671108549106,0.45128755317957536,0.3111133538627885,0.611272237810929,0.5070480987560668,9.772056455083655,0.9235701319942935
9,rest,0.5000000000000001,0.5,0.5000000000000002,0.5,0.516629989102795,0.39271340605452465,11.896077181677429,0.4480516456511768
10,high,0.374794239763222,0.9001466962549787,0.5665136707010395,0.6870026652954427,0.6227061755727457,0.5263565200063814,9.341736062889332,0.7824030256338289
10,rest,0.4999999999999999,0.4999999999999999,0.5,0.5,0.5263327731958936,0.4277920195503938,11.768839795725384,0.35477061003115723
11,high,0.6259796526412157,0.7603980346647445,0.44800356921489937,0.9961573284575694,0.6983243334786536,0.582338175751922,10.884566783352257,0.5924425695544161
11,rest,0.5,0.5,0.5,0.5,0.4656438319393999,0.351119144997789,12.124446614488347,0.3094371309308284
12,high,0.2710017744040854,0.9294765498470792,0.45366683720102474,0.33576861698093863,0.5043076632304346,0.39581576936388807,10.060811740601661,0.8753994257236773
12,rest,0.49999999999999994,0.5,0.5,0.4999999999999999,0.5212931507741598,0.4090150533944699,11.532469346707176,0.34011088566237446
13,high,0.6338280901232862,0.7579017523858413,0.447604929323291,0.26068494410439014,0.5124247322137104,0.4275769793240683,10.105900264526724,0.6746773848670762
13,rest,0.5,0.5,0.4999999999999999,0.5,0.5273807317540922,0.41990503004264007,11.863957559776491,0.3415689325369675
14,high,0.7201390804936055,0.24289742457855817,0.5075813727174504,0.9528834574066953,0.5886023366821331,0.4973801282272454,10.014703125775815,0.4703414330316267
14,rest,0.5,0.4999999999999999,0.49999999999999994,0.5,0.5257363012163274,0.38484806242472364,13.182767696983902,0.24298723674228392
15,high,0.5992998397490663,0.42811036862640606,0.3949830463292532,0.3206883825775406,0.46944416220854,0.35542694712884915,11.573028251830449,0.3414633774629113
15,rest,0.5,0.5,0.4999999999999999,0.5,0.5059172161876726,0.3759151812833097,12.344824792484536,0.33418475086354316
16,high,0.7526232460335778,0.616748743559861,0.4150386785349759,0.46260220259251816,0.5558885165234666,0.4143313206836644,12.291898272817061,0.5512671400149769
16,rest,0.5000000000000001,0.49999999999999994,0.4999999999999999,0.5,0.5309347480427848,0.3834710866690183,12.879635067994935,0.29883294863720666
17,high,0.6574415456247069,0.7665742569194592,0.39886573737923203,0.4263226311428094,0.5524123095456486,0.4594534302004838,10.430429123495173,0.6308705118154069
17,rest,0.5,0.5,0.4999999999999999,0.5,0.4947348063011411,0.3968716910796251,11.025467823822138,0.4193326172122562
18,high,0.17752677591056687,0.7934604631172881,0.40540989316835896,0.7308692351730356,0.5320825799250688,0.45866402061328104,10.204488035590115,0.7548933076245633
18,rest,0.5,0.5,0.5,0.5,0.5130414761772808,0.38305768500237036,12.076301629946476,0.3017004876894274
19,high,0.5206550217993074,0.8117152434627641,0.4976168504361042,0.8253488510056971,0.6348815253905669,0.5100684735440539,11.30116008418252,0.7854771517460898
19,rest,0.5,0.5,0.5,0.5,0.5148032248645442,0.3783223149041478,12.209848506143517,0.3538726900711512
20,high,0.19704217226102563,0.4454573202506202,0.4571690196560859,0.553734190182037,0.4373069043823349,0.3047511250336311,9.557071552271802,0.5542870261108953
20,rest,0.5,0.4999999999999998,0.5,0.5,0.5066187929976484,0.36719267535269856,11.419540772334907,0.36286320625106094
21,high,0.20736229166898537,0.3339123429853525,0.5147600750229182,0.5799051087271816,0.42946853336104357,0.3417409889500344,9.571367530787043,0.7300211874855491
